Nature,43.07
Cell,36.216
Science,41.037
Nature energy,54
Nature materials,38.887
Nature nanotechnology,33.407
Nature biotechnology,31.864
Nature photonics,31.583
Nature methods,28.467
Nature immunology,23.53
Nature chemistry,23.193
Cell metabolism,22.415
Cell stem cell,21.464
Nature physics,20.113
Science robotics,19.4
Cell research,17.848
Cature cell biology,17.728
Molecular cell,14.548
Nature communications,11.878
Nature protocols,11.334
